721 : 	 my number 26176 	 his number 28139
722 : 	 my number 29461 	 his number 26150
723 : 	 my number 20284 	 his number 22660
724 : 	 my number 44217 	 his number 42710
724Ê : 	 my number 34936 	 his number 39976
725 : 	 my number 9751 	 his number 9755
726 : 	 my number 13870 	 his number 14253
728 : 	 my number 28783 	 his number 25369
729 : 	 my number 5944 	 his number 4956
730 : 	 my number 8343 	 his number 8343
731 : 	 my number 11993 	 his number 12157
732 : 	 my number 21952 	 his number 24759
733 : 	 my number 16008 	 his number 20182
734 : 	 my number 17885 	 his number 15120
735 : 	 my number 14444 	 his number 12049
736 : 	 my number 8499 	 his number 8241
737 : 	 my number 32433 	 his number 34602
738 : 	 my number 25185 	 his number 25183
74 : 	 my number 5475 	 his number 5517
740 : 	 my number 5214 	 his number 7816
741 : 	 my number 6622 	 his number 12151
742 : 	 my number 13661 	 his number 13662
743 : 	 my number 22578 	 his number 20646
744 : 	 my number 13766 	 his number 13759
747 : 	 my number 11315 	 his number 11315
748 : 	 my number 19293 	 his number 32112
749 : 	 my number 18771 	 his number 20236
75 : 	 my number 31911 	 his number 29415
750 : 	 my number 23412 	 his number 21230
751 : 	 my number 21118 	 his number 19035
752 : 	 my number 39211 	 his number 37858
753 : 	 my number 18250 	 his number 18245
754 : 	 my number 10950 	 his number 9855
756 : 	 my number 45938 	 his number 53189
757 : 	 my number 21431 	 his number 21431
758 : 	 my number 6674 	 his number 6572
759 : 	 my number 17259 	 his number 17659
76 : 	 my number 17311 	 his number 21591
760 : 	 my number 13714 	 his number 6260
761 : 	 my number 43226 	 his number 49066
762 : 	 my number 18094 	 his number 18087
763 : 	 my number 31807 	 his number 38075
763Ê : 	 my number 9646 	 his number 14498
764 : 	 my number 38794 	 his number 42969
765 : 	 my number 18146 	 his number 19326
766 : 	 my number 5319 	 his number 5316
767 : 	 my number 35561 	 his number 36033
768 : 	 my number 12097 	 his number 11587
769 : 	 my number 36656 	 his number 38330
77 : 	 my number 22682 	 his number 22683
770 : 	 my number 7300 	 his number 7303
772 : 	 my number 8499 	 his number 8504
773 : 	 my number 13296 	 his number 12858
775 : 	 my number 11680 	 his number 10220
776 : 	 my number 10064 	 his number 10064
777 : 	 my number 261 	 	 his number 5475
778 : 	 my number 14339 	 his number 10433
779 : 	 my number 12723 	 his number 12569
78 : 	 my number 15904 	 his number 17067
780 : 	 my number 14287 	 his number 14625
781 : 	 my number 19710 	 his number 23877
782 : 	 my number 6779 	 his number 6781
784 : 	 my number 14339 	 his number 14350
785 : 	 my number 5579 	 his number 6575
786 : 	 my number 11054 	 his number 11050
789 : 	 my number 35822 	 his number 39788
79 : 	 my number 25185 	 his number 26383
790 : 	 my number 46772 	 his number 53557
791 : 	 my number 26906 	 his number 27251
792 : 	 my number 65909 	 his number 62571
793 : 	 my number 20284 	 his number 20289
794 : 	 my number 38534 	 his number 31105
795 : 	 my number 5475 	 his number 5478
796 : 	 my number 42079 	 his number 33317
797 : 	 my number 16634 	 his number 16634
798 : 	 my number 6779 	 his number 1825
799 : 	 my number 1616 	 his number 16216
8 : 	 my number 11263 	 his number 26891
800 : 	 my number 12462 	 his number 14975
801 : 	 my number 5475 	 his number 5730
802 : 	 my number 15486 	 his number 11289
803 : 	 my number 15486 	 his number 15467
804 : 	 my number 33684 	 his number 35042
805 : 	 my number 7404 	 his number 7407
806 : 	 my number 25446 	 his number 31012
807 : 	 my number 10950 	 his number 13034
808 : 	 my number 9855 	 his number 9855
81 : 	 my number 17051 	 his number 19655
811 : 	 my number 28574 	 his number 28184
812 : 	 my number 33997 	 his number 19971
813 : 	 my number 32537 	 his number 32557
815Ê : 	 my number 5736 	 his number 5989
816 : 	 my number 1043 	 his number 785
817 : 	 my number 19762 	 his number 21012
818 : 	 my number 25706 	 his number 30770
819 : 	 my number 19241 	 his number 7926
82 : 	 my number 8916 	 his number 10158
820 : 	 my number 27896 	 his number 29308
821 : 	 my number 77171 	 his number 76669
825 : 	 my number 45104 	 his number 42597
826 : 	 my number 27479 	 his number 31440
828 : 	 my number 5475 	 his number 5478
829 : 	 my number 22526 	 his number 24876
830 : 	 my number 33580 	 his number 19970
831 : 	 my number 15382 	 his number 15382
832 : 	 my number 13505 	 his number 13508
833 : 	 my number 7300 	 his number 9020
834 : 	 my number 6726 	 his number 6723
835 : 	 my number 261 	 	 his number 11690
836 : 	 my number 46616 	 his number 42218
837 : 	 my number 11889 	 his number 12134
838 : 	 my number 16581 	 his number 18671
839 : 	 my number 15017 	 his number 17523
84 : 	 my number 19136 	 his number 20493
840 : 	 my number 35301 	 his number 38110
841 : 	 my number 88799 	 his number 105819
842 : 	 my number 26749 	 his number 26757
843 : 	 my number 12254 	 his number 11000
846 : 	 my number 33893 	 his number 33890
847 : 	 my number 2086 	 his number 32237
848 : 	 my number 38638 	 his number 43933
849 : 	 my number 22630 	 his number 25417
84Ê : 	 my number 5475 	 his number 8867
85 : 	 my number 17572 	 his number 17034
850 : 	 my number 32537 	 his number 34362
851 : 	 my number 29878 	 his number 25919
855 : 	 my number 66899 	 his number 67140
857 : 	 my number 37386 	 his number 30114
858 : 	 my number 8551 	 his number 47490
859 : 	 my number 16686 	 his number 19557
86 : 	 my number 26854 	 his number 26464
860 : 	 my number 8239 	 his number 6985
861 : 	 my number 7509 	 his number 7509
862 : 	 my number 15799 	 his number 6940
863 : 	 my number 59495 	 his number 54295
864 : 	 my number 17207 	 his number 12392
865 : 	 my number 8030 	 his number 8077
866 : 	 my number 9438 	 his number 7875
867 : 	 my number 24455 	 his number 27477
868 : 	 my number 12410 	 his number 2190
869 : 	 my number 10011 	 his number 8856
87 : 	 my number 8916 	 his number 8576
870 : 	 my number 9855 	 his number 6314
871 : 	 my number 5527 	 his number 4822
872 : 	 my number 40724 	 his number 41096
873 : 	 my number 5840 	 his number 6019
874 : 	 my number 6831 	 his number 2319
874Ê : 	 my number 4380 	 his number 4389
875 : 	 my number 11159 	 his number 11155
876 : 	 my number 14756 	 his number 9071
878 : 	 my number 12201 	 his number 8754
879 : 	 my number 7196 	 his number 7717
880 : 	 my number 34675 	 his number 34154
881 : 	 my number 17103 	 his number 13766
882 : 	 my number 29826 	 his number 29613
883 : 	 my number 13140 	 his number 12462
884 : 	 my number 22369 	 his number 25448
885 : 	 my number 38169 	 his number 36677
889 : 	 my number 24246 	 his number 4851
88Ê : 	 my number 13349 	 his number 17681
890 : 	 my number 10168 	 his number 8351
890Ê : 	 my number 39211 	 his number 39208
891 : 	 my number 8291 	 his number 12041
892 : 	 my number 2346 	 his number 35528
893 : 	 my number 53394 	 his number 62632
895 : 	 my number 22004 	 his number 21777
895Ê : 	 my number 38429 	 his number 32065
896 : 	 my number 21535 	 his number 21539
898 : 	 my number 9907 	 his number 9750
898Ê : 	 my number 21796 	 his number 15799
899 : 	 my number 10220 	 his number 10220
9 : 	 my number 20231 	 his number 26176
90 : 	 my number 42496 	 his number 46593
901 : 	 my number 51100 	 his number 55747
902 : 	 my number 23256 	 his number 32902
903 : 	 my number 64344 	 his number 54960
904 : 	 my number 28679 	 his number 32017
904Ê : 	 my number 28366 	 his number 30713
905 : 	 my number 41141 	 his number 46150
906 : 	 my number 41141 	 his number 44685
907 : 	 my number 26019 	 his number 29674
908 : 	 my number 34101 	 his number 44330
911 : 	 my number 42705 	 his number 30326
92 : 	 my number 31286 	 his number 36315
928 : 	 my number 26228 	 his number 32167
93 : 	 my number 18041 	 his number 21587
930 : 	 my number 21170 	 his number 24269
94 : 	 my number 16790 	 his number 14425
95 : 	 my number 16999 	 his number 17164
950 : 	 my number 23516 	 his number 28716
958 : 	 my number 14756 	 his number 12866
959 : 	 my number 8499 	 his number 9959
96 : 	 my number 55584 	 his number 64498
961 : 	 my number 10429 	 his number 11625
962 : 	 my number 10429 	 his number 10312
964 : 	 my number 32276 	 his number 8084
97 : 	 my number 29409 	 his number 29415
98 : 	 my number 15539 	 his number 15712
982 : 	 my number 31390 	 his number 19966
À : 	 my number 23621 	 his number 28052
Á : 	 my number 67369 	 his number 64834
ÁÊ : 	 my number 50735 	 his number 8760
ÁÍ : 	 my number 1981 	 his number 1988
ÂÊ : 	 my number 15956 	 his number 18927
Ê : 	 my number 7561 	 his number 7561
Ì1 : 	 my number 18511 	 his number 19276
Ì10 : 	 my number 48962 	 his number 40879
Ì2 : 	 my number 38273 	 his number 38278
Ì27 : 	 my number 34258 	 his number 36374
Ì3 : 	 my number 35457 	 his number 44961
Ì5 : 	 my number 27166 	 his number 29793
Ì7 : 	 my number 44582 	 his number 51464
Ì8 : 	 my number 27949 	 his number 34466
Ì9 : 	 my number 44374 	 his number 45494
ÌÖ1 : 	 my number 12723 	 his number 10534
Í1 : 	 my number 4015 	 his number 3650
Í2 : 	 my number 3650 	 his number 3831
Í4 : 	 my number 730 	 	 his number 4011
Í5 : 	 my number 1825 	 his number 4019
Í7 : 	 my number 4015 	 his number 4198
Ñ1 : 	 my number 10950 	 his number 10950
Ñ10 : 	 my number 14235 	 his number 14235
Ñ11 : 	 my number 9751 	 his number 9748
Ñ12 : 	 my number 8343 	 his number 8343
Ñ2 : 	 my number 7665 	 his number 7657
Ñ3 : 	 my number 10220 	 his number 10220
Ñ4 : 	 my number 11315 	 his number 11315
Ñ5 : 	 my number 9855 	 his number 9855
Ñ6 : 	 my number 13140 	 his number 13133
Ñ8 : 	 my number 10585 	 his number 10585
Ñ9 : 	 my number 2190 	 his number 2190
Ò : 	 my number 20909 	 his number 20913
Ò10 : 	 my number 20492 	 his number 21170
Ò13 : 	 my number 3963 	 his number 42813
Ò18 : 	 my number 40984 	 his number 39009
Ò19 : 	 my number 38325 	 his number 38773
Ò25 : 	 my number 34623 	 his number 33155
Ò26 : 	 my number 32068 	 his number 38533
Ò29 : 	 my number 18667 	 his number 28913
Ò3 : 	 my number 30191 	 his number 43645
Ò32 : 	 my number 32068 	 his number 33914
Ò39 : 	 my number 25185 	 his number 25445
Ò47 : 	 my number 43018 	 his number 47023
Ò51 : 	 my number 67890 	 his number 65191
Ò55 : 	 my number 61998 	 his number 51731
Ò63 : 	 my number 50787 	 his number 55951
Ò67 : 	 my number 16477 	 his number 16482
Ò71 : 	 my number 31442 	 his number 30277
Ò78 : 	 my number 35926 	 his number 35924
Ò79 : 	 my number 25759 	 his number 28568
Ò86 : 	 my number 34154 	 his number 34198
Ò88 : 	 my number 19814 	 his number 21775
